Fare,Shared
15.51,false
15.41,false
22.91,false
36.92,false
97.63,false
19.759999999999998,false
24.19,false
21.08,false
30.11,false
38.38,false
13.91,false
107.78,false
15.78,false
15.92,false
18.78,false
29.990000000000002,false
23.96,false
10.83,false
13.54,false
24.490000000000002,false
44.72,false
17.91,false
13.78,false
10.68,false
16.78,false
20.41,false
23.3,false
28.66,false
14,false
8.78,false
12.5,false
45,false
23.41,false
18.96,false
20.5,false
26.2,false
86.78,false
18.78,false
21.28,false
18.78,false
20.5,false
45.33,false
15.28,false
27.28,false
13.18,false
104.02,false
13.17,false
8.78,false
18.16,false
22.990000000000002,false
23.78,false
31.28,false
13.78,false
19.81,false
32.29,false
18.78,false
13.28,false
18.78,false
15.41,false
13.17,false
10.02,true
7.35,true
13.17,true
7.43,true
16.68,true
7.37,true
16.4,true
9.81,true
20.3,true
33.230000000000004,true
40.67,true
10.04,true
32.57,true
9.24,true
32.98,true
41.31,true
37.15,true
24.17,true
12.31,true
13.77,true
7.31,true
20.11,true
12.8,true
23.25,true
13.1,true
18.88,true
40.93,true
13.879999999999999,true
28.09,true
20.11,true
16.68,true
7.43,true
10.02,true
7.35,true