Versus,Pitch_Speed,Distance
AZ,91.6,504
COL,87.5,499
COL,84.8,496
STL,82,495
SD,80.4,486
COL,88.4,468
CHC,90.5,466
COL,91.3,464
COL,88.4,463
SF,85.1,462
AZ,79.9,461
COL,96.1,460
COL,83.3,460
MIL,81.3,457
AZ,90.5,457
COL,85.1,457
SF,81,454
COL,96.2,453
PHI,92.2,453
COL,90.6,452
COL,88.1,452
COL,94.3,451
STL,92.6,450
KC,84.2,450
LAD,93,450
STL,84.7,449
COL,92.7,448
CHC,91.2,447
COL,80.3,447
COL,84.3,446
COL,95.5,446
COL,87.5,445
LAD,81.2,445
LAD,89.9,445
COL,93.8,444
COL,81.4,444
COL,85.9,444
LAD,91,444
COL,83.3,443
NYM,80.1,443
KC,93.4,443
COL,90.8,443
CHC,94.5,443
COL,95.3,441
COL,97.8,441
COL,73.8,441
COL,93.4,440
COL,98.3,440
SD,93.9,439
ATL,93,438
WSH,81.1,438
COL,79.8,438
COL,84.1,437
CLE,81.7,437
CHC,83.5,437
COL,85.3,436
AZ,84.1,436
COL,86.6,436
COL,93.8,435
COL,80.8,435
LAD,92.8,435
AZ,85.9,434
COL,89.7,433
COL,89.2,433
COL,91.5,433
SD,92.3,433
PIT,85.1,433
CIN,82.8,433
COL,94.8,432
LAD,88.7,432
COL,83.2,431
COL,94.6,431
COL,87.8,430
COL,80.3,430
COL,93.9,430
COL,80.4,429
SF,84,429
AZ,92.6,429
SD,79.6,428
AZ,87.5,428
COL,76.8,427
SF,85.4,427
COL,81.5,427
COL,91.9,426
COL,88.6,425
KC,96.2,425
ATL,89.2,425
COL,86.8,425
COL,87.1,425
SF,91.4,425
COL,86.3,424
CWS,85.2,424
COL,94.4,424
CHC,79.7,423
AZ,88,423
COL,89.4,422
MIL,94.1,422
COL,87.5,422
COL,90.6,421
MIL,82.4,421
KC,94.3,420
COL,78.2,420
COL,89.7,420
COL,93.1,419
AZ,87.5,418
SF,91.6,418
SD,96,417
SD,88.7,417
SD,82.7,416
COL,85.2,416
COL,91.2,416
WSH,87.9,415
SF,84.7,415
COL,87.7,414
COL,87,414
ATL,92.5,414
COL,82.4,413
CIN,97.1,412
AZ,77.7,412
COL,83.9,412
KC,84.2,412
SD,87.8,412
STL,78.9,411
COL,93.7,411
MIL,81.6,411
COL,95.2,411
COL,92.7,410
COL,88.6,410
MIA,94.6,410
COL,91.7,408
COL,85.7,408
STL,90.5,407
PHI,88.6,407
SD,88.8,407
COL,95.2,405
CIN,94.3,405
SF,83.4,404
COL,93.4,404
COL,87.4,403
COL,95.8,403
COL,77,403
ATL,81.1,402
ATL,81.9,402
COL,82.2,402
COL,92.6,402
SF,88.7,401
PIT,93.9,401
COL,84.4,401
SF,90.8,400
MIL,80,400
SD,94.4,399
LAD,82.8,399
MIL,77.5,398
NYM,81.2,396
COL,85.4,395
TEX,94,395
TEX,79.9,394
SD,79,394
COL,82.6,394
COL,74.2,393
AZ,94.6,393
COL,76.6,392
SD,83.5,392
COL,90.8,391
COL,90.6,390
MIA,81.5,389
COL,92.6,389
WSH,94.9,389
COL,90.6,388
COL,84.7,388
AZ,92.8,387
WSH,91,387
SF,83.2,386
COL,80.6,386
MIA,83.5,385
SD,84.5,385
COL,93.8,384
SD,86.5,383
SF,91.5,382
CWS,96.2,382
COL,93,382
COL,80,379
COL,95.2,379
NYM,86.2,376
LAD,85.4,376
COL,91.1,376
COL,92.6,375
COL,94.4,375
COL,97.3,375
MIL,84.7,374
COL,86.1,373
SD,89.2,371
CIN,85.1,370
AZ,86.8,369
COL,96.5,369
COL,96.4,368
COL,95.8,368
COL,91.3,366
COL,86.8,365
COL,93.2,364